Type,SKU,Name,Published,Visibility in catalog,Short description,Description,Regular price,Categories,Tags,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Meta:stage_download_links
simple,SL-001,Beam Moving Head 200W,1,visible,Entry moving head beam,Beam fixture for small venues and clubs,299,Stage Lighting,"DJ & Party,Nightclub & Bar",Power,200W,1,1,Application,"DJ & Party|Nightclub & Bar",1,1,Certification,"CE|RoHS",1,1,https://example.com/manuals/sl-001.pdf
simple,SL-002,Beam Moving Head 350W,1,visible,Pro moving head beam,High-output fixture for touring rigs,599,Stage Lighting,"Concert & Touring,Theater & Auditorium",Power,350W,1,1,Application,"Concert & Touring|Theater & Auditorium",1,1,Certification,"CE|FCC|RoHS",1,1,https://example.com/manuals/sl-002.pdf
simple,SL-003,Beam Moving Head 440W,1,visible,High-output moving head,Premium beam light for large stages,799,Stage Lighting,"Concert & Touring,TV Studio",Power,440W,1,1,Application,"Concert & Touring|TV Studio",1,1,Certification,"CE|FCC",1,1,https://example.com/manuals/sl-003.pdf
simple,SL-004,Beam Moving Head 1000W,1,visible,Flagship high-power moving head,Top-tier beam output for arena shows,1599,Stage Lighting,"Concert & Touring,Architectural Lighting",Power,1000W,1,1,Application,"Concert & Touring|Architectural Lighting",1,1,Certification,"CE|FCC|UL",1,1,https://example.com/manuals/sl-004.pdf
simple,SL-005,Wash Moving Head 300W,1,visible,RGBW wash moving head,Smooth color mixing for stage wash,549,Stage Lighting,"Wedding & Events,Theater & Auditorium",Power,300W,1,1,Application,"Wedding & Events|Theater & Auditorium",1,1,Certification,"CE|RoHS",1,1,https://example.com/manuals/sl-005.pdf
simple,SL-006,Spot Moving Head 260W,1,visible,Sharp gobo spot light,Spot effects with prism and frost,499,Stage Lighting,"Theater & Auditorium,TV Studio",Power,260W,1,1,Application,"Theater & Auditorium|TV Studio",1,1,Certification,"CE|FCC",1,1,https://example.com/manuals/sl-006.pdf
simple,SL-007,LED Par 18x10W,1,visible,Compact RGBW LED par,Entry wash fixture for events,149,Stage Lighting,"Wedding & Events,DJ & Party",Power,180W,1,1,Application,"Wedding & Events|DJ & Party",1,1,Certification,"CE|RoHS",1,1,https://example.com/manuals/sl-007.pdf
simple,SL-008,LED Par 24x12W,1,visible,High-brightness LED par,Brighter wash output for medium venues,229,Stage Lighting,"Nightclub & Bar,Wedding & Events",Power,288W,1,1,Application,"Nightclub & Bar|Wedding & Events",1,1,Certification,"CE|RoHS",1,1,https://example.com/manuals/sl-008.pdf
simple,SL-009,Follow Spot 600W,1,visible,Manual follow spotlight,Long-throw spotlight for performances,689,Stage Lighting,"Theater & Auditorium,Concert & Touring",Power,600W,1,1,Application,"Theater & Auditorium|Concert & Touring",1,1,Certification,"CE|FCC",1,1,https://example.com/manuals/sl-009.pdf
simple,SL-010,Laser RGB 5W,1,visible,RGB animation laser,Multi-color beam effects for clubs,459,Stage Lighting,"DJ & Party,Nightclub & Bar",Power,5W,1,1,Application,"DJ & Party|Nightclub & Bar",1,1,Certification,"CE|RoHS",1,1,https://example.com/manuals/sl-010.pdf
